iter	Passed	Remaining
407	3902	5662
408	3914	5656
409	3924	5648
410	3932	5636
411	3940	5623
412	3947	5610
413	3955	5598
414	3962	5586
415	3970	5574
416	3978	5561
417	3985	5549
418	3992	5536
419	4001	5526
420	4009	5514
421	4016	5501
422	4024	5490
423	4034	5480
424	4042	5469
425	4051	5459
426	4060	5449
427	4068	5437
428	4077	5426
429	4086	5416
430	4093	5404
431	4102	5394
432	4110	5382
433	4120	5373
434	4128	5362
435	4138	5353
436	4147	5343
437	4156	5333
438	4166	5324
439	4174	5313
440	4184	5304
441	4193	5293
442	4201	5282
443	4208	5270
444	4216	5258
445	4223	5245
446	4231	5234
447	4238	5222
448	4245	5210
449	4254	5199
450	4261	5187
451	4269	5175
452	4276	5163
453	4283	5151
454	4291	5140
455	4298	5127
456	4305	5116
457	4313	5104
458	4320	5092
459	4328	5081
460	4336	5069
461	4343	5058
462	4351	5046
463	4358	5034
464	4365	5023
465	4373	5011
466	4381	5000
467	4388	4988
468	4397	4978
469	4406	4969
470	4414	4958
471	4423	4948
472	4432	4938
473	4441	4928
474	4449	4917
475	4458	4907
476	4467	4898
477	4476	4888
478	4484	4878
479	4492	4867
480	4500	4856
481	4509	4846
482	4517	4835
483	4525	4825
484	4533	4814
485	4542	4804
486	4549	4792
487	4556	4780
488	4564	4769
489	4571	4758
490	4579	4747
491	4586	4735
492	4594	4724
493	4601	4713
494	4608	4702
495	4616	4690
496	4624	4679
497	4631	4669
498	4639	4657
499	4646	4646
500	4654	4635
501	4662	4624
502	4670	4614
503	4677	4603
504	4685	4592
505	4692	4581
506	4700	4571
507	4709	4560
508	4716	4549
509	4723	4538
510	4732	4528
511	4739	4517
512	4748	4508
513	4758	4498
514	4766	4488
515	4774	4478
516	4782	4467
517	4790	4458
518	4799	4448
519	4809	4439
520	4817	4429
521	4827	4420
522	4836	4410
523	4843	4400
524	4852	4390
525	4860	4380
526	4869	4370
527	4877	4360
528	4885	4350
529	4893	4339
530	4902	4329
531	4911	4320
532	4918	4309
533	4926	4299
534	4933	4288
535	4941	4277
536	4949	4267
537	4956	4256
538	4964	4246
539	4972	4235
540	4979	4225
541	4987	4214
542	4994	4203
543	5002	4193
544	5009	4182
545	5017	4172
546	5025	4161
547	5033	4151
548	5040	4140
549	5048	4130
550	5055	4119
551	5063	4109
552	5070	4098
553	5079	4089
554	5086	4078
555	5094	4068
556	5101	4057
557	5108	4046
558	5115	4036
559	5123	4025
560	5131	4015
561	5138	4004
562	5146	3994
563	5154	3984
564	5162	3974
565	5170	3964
566	5179	3955
567	5187	3945
568	5196	3935
569	5204	3926
570	5212	3916
571	5221	3906
572	5229	3897
573	5238	3888
574	5247	3878
575	5255	3868
576	5266	3861
577	5275	3851
578	5285	3842
579	5293	3833
580	5301	3823
581	5310	3814
582	5319	3804
583	5327	3794
584	5335	3784
585	5342	3774
586	5350	3764
587	5357	3753
588	5364	3743
589	5372	3733
590	5379	3723
591	5387	3712
592	5394	3702
593	5401	3691
594	5410	3682
595	5417	3672
596	5425	3662
597	5432	3652
598	5440	3641
599	5448	3632
600	5455	3621
601	5462	3611
602	5470	3601
603	5477	3591
604	5485	3581
605	5492	3570
606	5499	3560
607	5507	3550
608	5514	3540
609	5522	3530
610	5530	3521
611	5538	3511
612	5547	3502
613	5556	3492
614	5565	3483
615	5574	3474
616	5592	3471
617	5601	3462
618	5611	3453
619	5621	3445
620	5629	3435
621	5638	3426
622	5647	3417
623	5655	3408
624	5662	3397
625	5670	3387
626	5678	3378
627	5686	3368
628	5694	3358
629	5701	3348
630	5709	3338
631	5716	3328
632	5724	3318
633	5731	3308
634	5739	3298
635	5746	3289
636	5754	3279
637	5761	3268
638	5768	3258
639	5776	3249
640	5783	3239
641	5791	3229
642	5799	3219
643	5806	3210
644	5814	3200
645	5822	3190
646	5829	3180
647	5837	3170
648	5845	3161
649	5853	3151
650	5860	3141
651	5868	3132
652	5877	3123
653	5885	3113
654	5894	3104
655	5902	3095
656	5911	3086
657	5920	3077
658	5929	3068
659	5937	3058
660	5946	3049
661	5955	3040
662	5965	3032
663	5974	3023
664	5985	3015
665	5995	3006
666	6003	2997
667	6012	2988
668	6019	2978
669	6029	2969
670	6037	2960
671	6046	2951
672	6053	2941
673	6061	2931
674	6068	2921
675	6076	2912
