iter	Logloss
0	0.6596392316
1	0.6287383831
2	0.6026519625
3	0.5757527223
4	0.5542899936
5	0.5321665035
6	0.5114847207
7	0.492939314
8	0.4762513355
9	0.4652428363
10	0.4503375984
11	0.4386325017
12	0.4267737687
13	0.4169098264
14	0.4073935059
15	0.398063208
16	0.3909992656
17	0.3844854281
18	0.3770252656
19	0.3712941419
20	0.3666933532
21	0.3608567632
22	0.3558148484
23	0.352162389
24	0.3472866063
25	0.3438212057
26	0.3403423102
27	0.3365308092
28	0.3336214208
29	0.3305569174
30	0.3276565419
31	0.3244574057
32	0.322314071
33	0.3192193762
34	0.3161095399
35	0.3139198804
36	0.3118846918
37	0.309777319
38	0.3081493569
39	0.3061220535
40	0.3044725513
41	0.3029557507
42	0.3015226955
43	0.2999125082
44	0.2981950526
45	0.2965454184
46	0.294625991
47	0.2932638197
48	0.2920411218
49	0.2908304834
50	0.2897670442
51	0.2880150026
52	0.2867010418
53	0.2854622603
54	0.284250264
55	0.2833419853
56	0.2822033131
57	0.2807793312
58	0.2798836916
59	0.2787778468
60	0.2779702313
61	0.2769895215
62	0.2760553089
63	0.275309339
64	0.2743020104
65	0.2732845305
66	0.2720431728
67	0.2710582272
68	0.2703030433
69	0.2689733693
70	0.2682709218
71	0.2675784922
72	0.2667845914
73	0.2658441745
74	0.2652382799
75	0.2643321391
76	0.2637879133
77	0.2628253977
78	0.2620602233
79	0.2614694568
80	0.2608638423
81	0.2599318053
82	0.259172561
83	0.2587206993
84	0.2579968508
85	0.2573920062
86	0.2567983232
87	0.2563077192
88	0.2557012011
89	0.2551696877
90	0.2545430848
91	0.2539000355
92	0.2533913754
93	0.252788774
94	0.2522515641
95	0.2518964906
96	0.2513908433
97	0.2509092941
98	0.2503831604
99	0.2499485897
100	0.2492997482
101	0.2489347431
102	0.2484382811
103	0.2476591931
104	0.2472880314
105	0.246771117
106	0.2461893877
107	0.2458384939
108	0.2453580343
109	0.2448872912
110	0.2443881526
111	0.2440545677
112	0.2434416798
113	0.2430877976
114	0.2428043453
115	0.2423526728
116	0.2418901571
117	0.2414229301
118	0.2409134004
119	0.2405379779
120	0.2402550354
121	0.2398493888
122	0.2395224284
123	0.2391816257
124	0.2387153747
125	0.2383418124
126	0.2378531419
127	0.2375611182
128	0.2371795786
129	0.2369931102
130	0.2367908277
131	0.2362537749
132	0.2359947568
133	0.2357467926
